time (ms) ,v(mv),A(ma), w(mw), o/f, 0_v(mv),  0_A(ma), 0_watt(mw), 0_o/f, 0_in, 1_v(mv), 1_A(ma), 1_watt(mw), 1_o/f,  1_in,  chksum8-2,  chksum8-xor
0000926961,15322,0395,06052,0,04992,0430,02146,1,00,11992,0217,02602,1,00,b8,16
0000927010,15319,0414,06342,0,04993,0439,02191,1,00,11991,0219,02626,1,00,b5,15
0000927060,15311,0429,06568,0,04993,0449,02242,1,00,11990,0219,02625,1,00,ac,12
0000927110,15318,0399,06112,0,04993,0426,02127,1,00,11991,0218,02614,1,00,b7,13
0000927160,15317,0420,06433,0,04992,0447,02231,1,00,11989,0218,02613,1,00,b8,14
0000927209,15308,0402,06153,0,04992,0431,02151,1,00,11990,0219,02625,1,00,bf,1d
0000927260,15313,0402,06156,0,04992,0433,02161,1,00,11988,0216,02589,1,00,b3,1f
0000927309,15321,0410,06281,0,04994,0435,02172,1,00,11990,0217,02601,1,00,c1,13
0000927360,15307,0427,06536,0,04994,0438,02187,1,00,11988,0216,02589,1,00,97,1b
0000927409,15320,0396,06066,0,04991,0428,02136,1,00,11990,0218,02613,1,00,b0,12
0000927460,15321,0421,06450,0,04992,0438,02186,1,00,11989,0221,02649,1,00,ae,12
0000927510,15313,0405,06201,0,04992,0429,02141,1,00,11989,0219,02625,1,00,bd,1b
0000927561,15318,0394,06035,0,04992,0442,02206,1,00,11987,0216,02589,1,00,a5,15
0000927610,15319,0412,06311,0,04992,0423,02111,1,00,11986,0220,02637,1,00,c7,1d
0000927660,15310,0423,06476,0,04993,0444,02217,1,00,11991,0219,02626,1,00,b0,1e
0000927710,15318,0395,06050,0,04993,0443,02212,1,00,11989,0219,02625,1,00,b0,12
0000927760,15320,0417,06388,0,04990,0422,02106,1,00,11987,0217,02601,1,00,b7,11
0000927809,15310,0411,06292,0,04994,0421,02102,1,00,11988,0217,02601,1,00,c0,12
0000927859,15321,0418,06404,0,04993,0431,02152,1,00,11988,0217,02601,1,00,b2,16
